Countycode,民國年月,YYYMM,十八尖山人次,青青草原人次,城隍廟人次,新竹漁港人次,賞蟹步道人次,青草湖人次,十七公里自行車道人次,新竹公園人次
"10018","11101","11101","31700","15813","188976","191468","36151","25982","59075","302355"
"10018","11102","11102","26156","15100","191056","201101","36133","23177","53969","318895"
"10018","11103","11103","38857","19687","178640","217938","45093","30485","62425","323632"
"10018","11104","11104","30732","15367","166005","231239","46850","31064","61674","287259"
"10018","11105","11105","27462","14186","135562","206038","41774","26650","58140","241683"
"10018","11106","11106","29498","14267","147168","233642","43670","28439","60637","265770"
"10018","11107","11107","30087","14698","179930","269754","56736","37215","67855","308426"
"10018","11108","11108","32647","16649","185557","243910","47678","34569","72416","306616"
"10018","11109","11109","40399","14910","144899","257509","43079","35977","72806","276774"
"10018","11110","11110","40629","16740","166309","241770","42761","40324","73952","319827"
"10018","11111","11111","41182","15068","166078","233770","44521","39158","70636","337236"
"10018","11112","11112","40004","15755","168543","167056","33987","38245","66226","303095"
